N_total;T_total;predictor.type;outcome.type;sdX.within;sdX.between;g.00;g.01;g.10;sd.u0;sd.u1;sd.e;true_cluster_means;l1_g.10_bias;l2_g.10_bias;l3a_g.10_bias;l3a_g.01_bias;l4_g.10_bias;l4_g.01_bias;g.exchangeable1_g.10_bias;g.exchangeable2_g.10_bias;g.exchangeable3_g.10_bias;g.exchangeable3_g.01_bias;g.exchangeable4_g.10_bias;g.exchangeable4_g.01_bias;g.ar11_g.10_bias;g.ar12_g.10_bias;g.ar13_g.10_bias;g.ar13_g.01_bias;g.ar14_g.10_bias;g.ar14_g.01_bias;g.independence1_g.10_bias;g.independence2_g.10_bias;g.independence3_g.10_bias;g.independence3_g.01_bias;g.independence4_g.10_bias;g.independence4_g.01_bias;l1_success;l2_success;l3a_success;l4_success;g.independence1_success;g.exchangeable1_success;g.ar11_success;g.independence2_success;g.exchangeable2_success;g.ar12_success;g.independence3_success;g.ar13_success;g.independence4_success;g.exchangeable4_success;g.ar14_success
100;5;binary;binary;1;0;0;0;1.5;0;0;1;FALSE;0.025;0.049;0.025;0.036;0.024;0.012;0.008;0.011;0.009;0.021;0.009;0.012;0.008;0.011;0.009;0.021;0.009;0.012;0.008;0.012;0.009;0.021;0.009;0.012;1;0.992;1;0.999;1;1;1;1;1;1;1;1;1;1;1
200;5;binary;binary;1;0;0;0;1.5;0;0;1;FALSE;0.017;0.046;0.019;0.011;0.019;-0.008;0.004;0.011;0.007;-0.001;0.007;-0.008;0.004;0.012;0.007;-0.001;0.007;-0.008;0.004;0.012;0.007;-0.001;0.007;-0.008;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
100;10;binary;binary;1;0;0;0;1.5;0;0;1;FALSE;0.015;0.035;0.021;-0.027;0.021;-0.048;0.007;0.016;0.013;-0.035;0.013;-0.048;0.007;0.017;0.013;-0.035;0.013;-0.048;0.007;0.017;0.013;-0.035;0.013;-0.048;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
200;10;binary;binary;1;0;0;0;1.5;0;0;1;FALSE;0.008;0.022;0.007;0.016;0.007;0.009;0.001;0.005;0.001;0.01;0.001;0.009;0.001;0.005;0.001;0.01;0.001;0.009;0.001;0.006;0.001;0.01;0.001;0.009;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
100;20;binary;binary;1;0;0;0;1.5;0;0;1;FALSE;0.012;0.02;0.012;0.022;0.012;0.01;0.008;0.01;0.008;0.018;0.008;0.01;0.008;0.011;0.008;0.018;0.008;0.01;0.008;0.011;0.008;0.018;0.008;0.01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
200;20;binary;binary;1;0;0;0;1.5;0;0;1;FALSE;0.003;0.012;0.004;-0.003;0.004;-0.007;0;0.003;0.001;-0.006;0.001;-0.007;0;0.004;0.001;-0.006;0.001;-0.007;0;0.004;0.001;-0.006;0.001;-0.007;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
100;5;continuous;binary;1;0;0;0;1.5;0;0;1;FALSE;0.03;0.004;0.036;0.02;0.036;-0.017;0.011;-0.106;0.018;0.001;0.018;-0.016;0.011;-0.107;0.018;0.001;0.018;-0.017;0.011;-0.107;0.017;0.001;0.017;-0.016;0.997;0.968;0.998;0.999;1;1;1;1;1;1;1;1;1;1;1
200;5;continuous;binary;1;0;0;0;1.5;0;0;1;FALSE;0.017;-0.006;0.018;0.018;0.018;0;0.003;-0.117;0.005;0.005;0.005;0;0.003;-0.117;0.005;0.004;0.005;0;0.003;-0.117;0.005;0.004;0.005;0;0.999;0.983;0.999;0.999;1;1;1;1;1;1;1;1;1;1;1
100;10;continuous;binary;1;0;0;0;1.5;0;0;1;FALSE;0.013;0.001;0.013;0.025;0.013;0.012;0.003;-0.061;0.004;0.016;0.004;0.012;0.003;-0.061;0.004;0.016;0.004;0.012;0.004;-0.061;0.004;0.016;0.004;0.012;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
200;10;continuous;binary;1;0;0;0;1.5;0;0;1;FALSE;0.009;0;0.009;0.02;0.009;0.012;0.003;-0.062;0.003;0.014;0.003;0.011;0.003;-0.062;0.003;0.014;0.003;0.012;0.003;-0.062;0.003;0.014;0.003;0.011;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
100;20;continuous;binary;1;0;0;0;1.5;0;0;1;FALSE;0.013;0.008;0.014;0.008;0.014;-0.006;0.009;-0.023;0.01;0.004;0.01;-0.006;0.009;-0.023;0.01;0.004;0.01;-0.006;0.009;-0.023;0.01;0.004;0.01;-0.006;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
200;20;continuous;binary;1;0;0;0;1.5;0;0;1;FALSE;0.003;-0.001;0.003;0.008;0.003;0.005;0;-0.033;0;0.004;0;0.004;0;-0.033;0;0.005;0;0.005;0;-0.033;0;0.005;0;0.005;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
100;5;binary;continuous;1;0;0;0;1.5;0;0;1;FALSE;-0.004;-0.004;-0.004;-0.002;-0.004;0.002;-0.004;-0.004;-0.004;-0.002;-0.004;0.002;-0.004;-0.004;-0.004;-0.002;-0.004;0.002;-0.004;-0.004;-0.004;-0.002;-0.004;0.002;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
200;5;binary;continuous;1;0;0;0;1.5;0;0;1;FALSE;0.002;0.001;0.001;0.005;0.001;0.004;0.002;0.001;0.001;0.005;0.001;0.004;0.002;0.002;0.001;0.005;0.001;0.004;0.002;0.001;0.001;0.005;0.001;0.004;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
100;10;binary;continuous;1;0;0;0;1.5;0;0;1;FALSE;0;-0.001;-0.001;0.006;-0.001;0.007;0;-0.001;-0.001;0.006;-0.001;0.007;0;-0.001;-0.001;0.006;-0.001;0.007;0;-0.001;-0.001;0.006;-0.001;0.007;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
200;10;binary;continuous;1;0;0;0;1.5;0;0;1;FALSE;0.002;0.002;0.002;0.002;0.002;0;0.002;0.002;0.002;0.002;0.002;0;0.002;0.002;0.002;0.002;0.002;0;0.002;0.002;0.002;0.002;0.002;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
