"N_total","T_total","predictor.type","outcome.type","sdX.within","sdX.between","g.00","g.10","sd.u0","sd.u1","sd.e","true_cluster_means","l2_g.10_bias","l3a_g.10_bias","l4_g.10_bias","g.exchangeable2_g.10_bias","g.exchangeable3_g.10_bias","g.exchangeable4_g.10_bias","g.ar12_g.10_bias","g.ar13_g.10_bias","g.ar14_g.10_bias","g.independence2_g.10_bias","g.independence3_g.10_bias","g.independence4_g.10_bias","l1_success","l2_success","l3a_success","l4_success","g.independence1_success","g.exchangeable1_success","g.ar11_success","g.independence2_success","g.exchangeable2_success","g.ar12_success","g.independence3_success","g.ar13_success","g.independence4_success","g.exchangeable4_success","g.ar14_success"
100,5,"binary","binary",1,0,0,1.5,0,0,1,TRUE,0.006,0.006,0.006,-0.011,NA,NA,-0.008,NA,NA,-0.009,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
200,5,"binary","binary",1,0,0,1.5,0,0,1,TRUE,0.038,0.038,0.038,0.025,NA,NA,0.025,NA,NA,0.025,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
100,20,"binary","binary",1,0,0,1.5,0,0,1,TRUE,0.006,0.006,0.006,0.002,NA,NA,0.002,NA,NA,0.002,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
200,20,"binary","binary",1,0,0,1.5,0,0,1,TRUE,0.013,0.013,0.013,0.01,NA,NA,0.01,NA,NA,0.01,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
100,5,"continuous","binary",1,0,0,1.5,0,0,1,TRUE,0.055,0.055,0.055,0.032,NA,NA,0.033,NA,NA,0.033,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
200,5,"continuous","binary",1,0,0,1.5,0,0,1,TRUE,0.019,0.019,0.019,0.005,NA,NA,0.005,NA,NA,0.005,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
100,20,"continuous","binary",1,0,0,1.5,0,0,1,TRUE,-0.001,-0.001,-0.001,-0.006,NA,NA,-0.005,NA,NA,-0.006,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
200,20,"continuous","binary",1,0,0,1.5,0,0,1,TRUE,0.01,0.01,0.01,0.007,NA,NA,0.007,NA,NA,0.007,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
100,5,"binary","continuous",1,0,0,1.5,0,0,1,TRUE,0.015,0.015,0.015,0.014,NA,NA,0.014,NA,NA,0.014,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
200,5,"binary","continuous",1,0,0,1.5,0,0,1,TRUE,-0.001,-0.001,-0.001,-0.001,NA,NA,-0.002,NA,NA,-0.002,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
